Date,Open,High,Low,Close,Volume
03/15/2022,"52.89","53.91","52.53","53.36","137,360"
03/14/2022,"51.31","52.72","51.16","52.61","175,280"
03/11/2022,"51.85","52.89","51.05","51.16","104,707"
03/10/2022,"49.99","51.84","49.99","51.64","107,160"
03/09/2022,"51.29","52.04","50.20","50.49","191,276"
03/08/2022,"50.56","51.91","50.51","50.68","154,105"
03/07/2022,"51.12","51.89","50.03","50.66","141,536"
03/04/2022,"49.96","51.51","49.59","51.21","117,388"
03/03/2022,"50.84","51.38","50.00","50.57","89,894"
03/02/2022,"50.07","51.70","50.07","50.81","117,669"
03/01/2022,"49.47","50.49","48.89","49.89","166,212"
02/28/2022,"49.80","50.52","48.95","49.21","122,839"
02/25/2022,"49.31","50.37","47.53","50.34","136,936"
02/24/2022,"48.35","49.71","47.07","48.98","189,781"
02/23/2022,"50.10","50.32","49.05","49.48","125,329"
02/22/2022,"49.08","50.54","48.97","49.49","107,175"
02/18/2022,"49.08","49.95","48.67","49.50","130,474"
02/17/2022,"50.84","50.84","49.10","49.32","110,669"
02/16/2022,"51.59","51.85","50.58","51.09","104,908"
02/15/2022,"51.70","52.10","50.94","51.61","113,144"
02/14/2022,"50.60","51.63","50.40","50.80","193,022"
